PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,BATS,IDPLAYER
Brett Phillips,Brett,Phillips,MIL,OF,33822,Brett Phillips,L,phillbr02
Manny Pina,Manny,Pina,MIL,C,30268,Manuel Pina,R,pinama01
Corey Ray,Corey,Ray,MIL,OF,,,L,rayco01
Michael Reed,Michael,Reed,MIL,OF,32260,Michael Reed,R,reedmi01
Domingo Santana,Domingo,Santana,MIL,OF,31931,Domingo Santana,R,santado01
Travis Shaw,Travis,Shaw,MIL,3B,32890,Travis Shaw,L,shawtr01
Eric Sogard,Eric,Sogard,MIL,2B,29732,Eric Sogard,L,sogarer01
Andrew Susac,Andrew,Susac,MIL,C,32062,Andrew Susac,R,susacan01
Eric Thames,Eric,Thames,MIL,OF,30709,Eric Thames,L,thameer01
Jonathan Villar,Jonathan,Villar,MIL,SS,31973,Jonathan Villar,B,villajo01
Ehire Adrianza,Ehire,Adrianza,MIN,SS,30471,Ehire Adrianza,B,adriaeh01
Byron Buxton,Byron,Buxton,MIN,OF,32655,Byron Buxton,R,buxtoby01
Jason Castro,Jason,Castro,MIN,C,30178,Jason Castro,L,castrja01
Brian Dozier,Brian,Dozier,MIN,2B,31009,Brian Dozier,R,doziebr01
Eduardo Escobar,Eduardo,Escobar,MIN,SS,30272,Eduardo Escobar,B,escobed01
Nick Gordon,Nick,Gordon,MIN,SS,33705,Nick Gordon,L,gordoni01
Robbie Grossman,Robbie,Grossman,MIN,OF,31385,Robbie Grossman,B,grossro01
Max Kepler,Max,Kepler,MIN,OF,31870,Max Kepler,L,keplema01
Joe Mauer,Joe,Mauer,MIN,1B,5378,Joe Mauer,L,mauerjo01
John Ryan Murphy,John Ryan,Murphy,MIN,C,31477,J.R. Murphy,R,murphjr01
Byung-ho Park,Byung-ho,Park,MIN,1B,34839,Byung Ho Park,R,parkby01
Ben Paulsen,Ben,Paulsen,MIN,1B,31045,Ben Paulsen,L,paulsbe01
Jorge Polanco,Jorge,Polanco,MIN,SS,32525,Jorge Polanco,B,polanjo01
Eddie Rosario,Eddie,Rosario,MIN,OF,31944,Eddie Rosario,L,rosared01
Miguel Sano,Miguel,Sano,MIN,3B,31260,Miguel Sano,R,sanomi01
Danny Santana,Danny,Santana,MIN,OF,31387,Danny Santana,B,santada01
J.B. Shuck,J.B.,Shuck,MIN,OF,30741,J.B. Shuck,L,shuckja01
Kennys Vargas,Kennys,Vargas,MIN,1B,33012,Kennys Vargas,B,vargake01
Bobby Abreu,Bobby,Abreu,N/A,OF,3537,Bobby Abreu,L,abreubo01
Tony Abreu,Tony,Abreu,N/A,2B,28777,Tony Abreu,B,abreuto01
David Adams,David,Adams,N/A,2B,30679,David Adams,R,adamsda02
Zoilo Almonte,Zoilo,Almonte,N/A,OF,31469,Zoilo Almonte,B,almonzo01
Bryan Anderson,Bryan,Anderson,N/A,C,29697,Bryan Anderson,L,anderbr05
Lars Anderson,Lars,Anderson,N/A,1B,29299,Lars Anderson,L,anderla03
Rick Ankiel,Rick,Ankiel,N/A,OF,4159,Rick Ankiel,L,ankieri01
Oswaldo Arcia,Oswaldo,Arcia,N/A,OF,31262,Oswaldo Arcia,L,arciaos01
J.P. Arencibia,J.P.,Arencibia,N/A,C,29537,J.P. Arencibia,R,arencjp01
Joaquin Arias,Joaquin,Arias,N/A,SS,28603,Joaquin Arias,R,ariasjo01
Cody Asche,Cody,Asche,N/A,OF,32637,Cody Asche,L,ascheco01
Garrett Atkins,Garrett,Atkins,N/A,3B,5507,Garrett Atkins,R,atkinga01
Xavier Avery,Xavier,Avery,N/A,OF,30827,Xavier Avery,L,averyxa01
Mike Aviles,Mike,Aviles,N/A,OF,29145,Mike Aviles,R,avilemi01
Jeff Baker,Jeff,Baker,N/A,1B,5371,Jeff Baker,R,bakerje03
John Baker,John,Baker,N/A,C,29183,John Baker,L,bakerjo01
Rod Barajas,Rod,Barajas,N/A,C,4207,Rod Barajas,R,barajro01
Clint Barmes,Clint,Barmes,N/A,SS,5798,Clint Barmes,R,barmecl01
Jason Bartlett,Jason,Bartlett,N/A,SS,6044,Jason Bartlett,R,bartlja01
Daric Barton,Daric,Barton,N/A,1B,6397,Daric Barton,L,bartoda02
Mike Baxter,Mike,Baxter,N/A,OF,29723,Mike Baxter,L,baxtemi01
Jason Bay,Jason,Bay,N/A,OF,5496,Jason Bay,R,bayja01
Gordon Beckham,Gordon,Beckham,N/A,2B,30117,Gordon Beckham,R,beckhgo01
Joe Benson,Joe,Benson,N/A,OF,30849,Joe Benson,R,bensojo01
Lance Berkman,Lance,Berkman,N/A,1B,4118,Lance Berkman,B,berkmla01
Roger Bernadina,Roger,Bernadina,N/A,OF,29173,Roger Bernadina,L,bernaro01
Quintin Berry,Quintin,Berry,N/A,OF,30418,Quintin Berry,L,berryqu01
Yuniesky Betancourt,Yuniesky,Betancourt,N/A,2B,6218,Yuniesky Betancourt,R,betanyu01
Wilson Betemit,Wilson,Betemit,N/A,3B,4968,Wilson Betemit,B,betemwi01
Jeff Bianchi,Jeff,Bianchi,N/A,SS,31760,Jeff Bianchi,R,biancje01
Brian Bixler,Brian,Bixler,N/A,2B,29089,Brian Bixler,R,bixlebr01
Casey Blake,Casey,Blake,N/A,3B,4149,Casey Blake,R,blakeca01
Gregor Blanco,Gregor,Blanco,N/A,OF,28661,Gregor Blanco,L,blancgr01
Henry Blanco,Henry,Blanco,N/A,C,3701,Henry Blanco,R,blanche01
Kyle Blanks,Kyle,Blanks,N/A,1B,29724,Kyle Blanks,R,blankky01
Willie Bloomquist,Willie,Bloomquist,N/A,2B,4603,Willie Bloomquist,R,bloomwi01
Brennan Boesch,Brennan,Boesch,N/A,OF,29378,Brennan Boesch,L,boescbr01
Brian Bogusevic,Brian,Bogusevic,N/A,OF,30029,Brian Bogusevic,L,bogusbr01
J.C. Boscan,J.C.,Boscan,N/A,C,29554,J.C. Boscan,R,boscajc01
Jason Bourgeois,Jason,Bourgeois,N/A,OF,29262,Jason Bourgeois,R,bourgja01
Michael Bourn,Michael,Bourn,N/A,OF,28535,Michael Bourn,L,bournmi01
Milton Bradley,Milton,Bradley,N/A,OF,4245,Milton Bradley,B,bradlmi01
Russell Branyan,Russell,Branyan,N/A,1B,3988,Russell Branyan,L,branyru01
Andrew Brown,Andrew,Brown,N/A,OF,31409,Andrew Brown,R,brownan02
Domonic Brown,Domonic,Brown,N/A,OF,29673,Domonic Brown,L,browndo01
Gary Brown,Gary,Brown,N/A,OF,31014,Gary Brown,L,brownga01
John Buck,John,Buck,N/A,C,5407,John Buck,R,buckjo01
Pat Burrell,Pat,Burrell,N/A,OF,4214,Pat Burrell,R,burrepa01
Billy Butler,Billy,Butler,N/A,1B,6396,Billy Butler,R,butlebi03
Joey Butler,Joey,Butler,N/A,OF,30640,Joey Butler,R,butlejo04
Marlon Byrd,Marlon,Byrd,N/A,OF,5033,Marlon Byrd,R,byrdma01
Everth Cabrera,Everth,Cabrera,N/A,SS,30155,Everth Cabrera,B,cabreev01
Orlando Cabrera,Orlando,Cabrera,N/A,SS,3739,Orlando Cabrera,R,cabreor01
Alberto Callaspo,Alberto,Callaspo,N/A,3B,28541,Alberto Callaspo,B,callaal01
Mike Cameron,Mike,Cameron,N/A,OF,3331,Mike Cameron,R,camermi01
Tony Campana,Tony,Campana,N/A,OF,30846,Tony Campana,L,campato01
Eric Campbell,Eric,Campbell,N/A,1B,31171,Eric Campbell,R,campber01
Jorge Cantu,Jorge,Cantu,N/A,3B,6033,Jorge Cantu,R,cantujo01
Russ Canzler,Russ,Canzler,N/A,3B,30238,Russ Canzler,R,canzlru01
Adrian Cardenas,Adrian,Cardenas,N/A,2B,30154,Adrian Cardenas,L,cardead01
Mike Carp,Mike,Carp,N/A,1B,29660,Mike Carp,L,carpmi01
Jamey Carroll,Jamey,Carroll,N/A,SS,5349,Jamey Carroll,R,carroja01
Alexi Casilla,Alexi,Casilla,N/A,2B,28575,Alexi Casilla,B,casilal01
Alex Castellanos,Alex,Castellanos,N/A,OF,31372,Alex Castellanos,R,casteal01
Ronny Cedeno,Ronny,Cedeno,N/A,SS,6254,Ronny Cedeno,R,cedenro02
Adron Chambers,Adron,Chambers,N/A,OF,30811,Adron Chambers,L,chambad01
Endy Chavez,Endy,Chavez,N/A,OF,4727,Endy Chavez,L,chaveen01
Eric Chavez,Eric,Chavez,N/A,3B,3953,Eric Chavez,L,chaveer01
Michael Choice,Michael,Choice,N/A,OF,31959,Michael Choice,R,choicmi01
Pedro Ciriaco,Pedro,Ciriaco,N/A,3B,30084,Pedro Ciriaco,R,ciriape01
Jeff Clement,Jeff,Clement,N/A,1B,28647,Jeff Clement,L,clemeje01
Steve Clevenger,Steve,Clevenger,N/A,C,30135,Steve Clevenger,L,clevest01
Tyler Colvin,Tyler,Colvin,N/A,OF,28999,Tyler Colvin,L,colvity01
Jose Constanza,Jose,Constanza,N/A,OF,29367,Jose Constanza,L,constjo01
David Cooper,David,Cooper,N/A,1B,30204,David Cooper,L,coopeda01
Carlos Corporan,Carlos,Corporan,N/A,C,29412,Carlos Corporan,B,corpoca01
Mike Costanzo,Mike,Costanzo,N/A,3B,29020,Mike Costanzo,L,costami01
Collin Cowgill,Collin,Cowgill,N/A,OF,30485,Collin Cowgill,R,cowgico01
Zack Cox,Zack,Cox,N/A,3B,31016,Zack Cox,L,coxza01
Carl Crawford,Carl,Crawford,N/A,OF,5035,Carl Crawford,L,crawfca02
Coco Crisp,Coco,Crisp,N/A,OF,5299,Coco Crisp,B,crispco01
Trevor Crowe,Trevor,Crowe,N/A,OF,28642,Trevor Crowe,B,crowetr01
Luis Cruz,Luis,Cruz,N/A,SS,33110,Luis Cruz,R,cruzlu01
Tony Cruz,Tony,Cruz,N/A,C,30936,Tony Cruz,R,cruzto03
Michael Cuddyer,Michael,Cuddyer,N/A,OF,4604,Michael Cuddyer,R,cuddymi01
Jack Cust,Jack,Cust,N/A,OF,,,L,custja01
Johnny Damon,Johnny,Damon,N/A,OF,,,L,damonjo01
Jordan Danks,Jordan,Danks,N/A,OF,30449,Jordan Danks,L,danksjo02
James Darnell,James,Darnell,N/A,3B,30552,James Darnell,R,darneja01
Ike Davis,Ike,Davis,N/A,1B,30532,Ike Davis,L,davisik02
David DeJesus,David,DeJesus,N/A,OF,5799,David DeJesus,L,dejesda01
Chris Denorfia,Chris,Denorfia,N/A,OF,6431,Chris Denorfia,R,denorch01
Mark DeRosa,Mark,DeRosa,N/A,3B,3933,Mark DeRosa,R,derosma01
Blake Dewitt,Blake,Dewitt,N/A,3B,29083,Blake DeWitt,L,dewitbl01
Juan Diaz,Juan,Diaz,N/A,SS,,,R,diazju01
Matt Diaz,Matt,Diaz,N/A,OF,5595,Matt Diaz,R,diazma02
Chris Dickerson,Chris,Dickerson,N/A,OF,29209,Chris Dickerson,L,dickech01
Andy Dirks,Andy,Dirks,N/A,OF,31006,Andy Dirks,L,dirksan01
Greg Dobbs,Greg,Dobbs,N/A,1B,6099,Greg Dobbs,L,dobbsgr01
Jason Donald,Jason,Donald,N/A,SS,,,R,donalja01
Ryan Doumit,Ryan,Doumit,N/A,OF,6304,Ryan Doumit,B,doumiry01
Matt Downs,Matt,Downs,N/A,2B,,,R,downsma01
J.D. Drew,J.D.,Drew,N/A,OF,,,L,drewj.01
Shelley Duncan,Shelley,Duncan,N/A,OF,,,R,duncash01
Adam Dunn,Adam,Dunn,N/A,1B,4808,Adam Dunn,L,dunnad01
David Eckstein,David,Eckstein,N/A,SS,,,R,eckstda01
Jim Edmonds,Jim,Edmonds,N/A,OF,2993,Jim Edmonds,L,edmonji01
Mark Ellis,Mark,Ellis,N/A,2B,5086,Mark Ellis,R,ellisma01
Luis Exposito,Luis,Exposito,N/A,C,30540,Luis Exposito,R,exposlu01
Irving Falu,Irving,Falu,N/A,2B,30390,Irving Falu,B,faluir01
Eric Farris,Eric,Farris,N/A,2B,30659,Eric Farris,R,farrier01
Prince Fielder,Prince,Fielder,N/A,DH,5915,Prince Fielder,L,fieldpr01
Chone Figgins,Chone,Figgins,N/A,3B,5302,Chone Figgins,B,figgich01
Jesus Flores,Jesus,Flores,N/A,C,,,R,floreje02
Lew Ford,Lew,Ford,N/A,OF,,,R,fordle01
Ben Francisco,Ben,Francisco,N/A,OF,,,R,francbe01
Juan Francisco,Juan,Francisco,N/A,3B,29601,Juan Francisco,L,francju02
Kevin Frandsen,Kevin,Frandsen,N/A,OF,6528,Kevin Frandsen,R,frandke01
Kosuke Fukudome,Kosuke,Fukudome,N/A,OF,,,L,fukudko01
Sam Fuld,Sam,Fuld,N/A,OF,28905,Sam Fuld,L,fuldsa01
Rafael Furcal,Rafael,Furcal,N/A,2B,4243,Rafael Furcal,B,furcara02
Mat Gamel,Mat,Gamel,N/A,1B,29230,Mat Gamel,L,gamelma01
Craig Gentry,Craig,Gentry,N/A,OF,30267,Craig Gentry,R,gentrcr01
Chris Getz,Chris,Getz,N/A,2B,29207,Chris Getz,L,getzch01
Jason Giambi,Jason,Giambi,N/A,DH,3226,Jason Giambi,L,giambja01
Chris Gimenez,Chris,Gimenez,N/A,C,,,R,gimench01
Hector Gimenez,Hector,Gimenez,N/A,C,,,B,gimenhe01
Caleb Gindl,Caleb,Gindl,N/A,OF,30326,Caleb Gindl,L,gindlca01
Troy Glaus,Troy,Glaus,N/A,3B,,,R,glaustr01
Jonny Gomes,Jonny,Gomes,N/A,OF,5860,Jonny Gomes,R,gomesjo01
Mauro Gomez,Mauro,Gomez,N/A,1B,31550,Mauro Gomez,R,gomezma01
Alex Gonzalez,Alex,Gonzalez,N/A,SS,3916,Alex Gonzalez,R,gonzaal02
Alberto Gonzalez,Alberto,Gonzalez,N/A,2B,,,R,gonzaal03
Grant Green,Grant,Green,N/A,2B,30430,Grant Green,R,greengr01
Taylor Green,Taylor,Green,N/A,3B,29045,Taylor Green,L,greenta01
Alexander Guerrero,Alexander,Guerrero,N/A,3B,33096,Alex Guerrero,R,guerral01
Vladimir Guerrero,Vladimir,Guerrero,N/A,OF,,,R,guerrvl01
Carlos Guillen,Carlos,Guillen,N/A,2B,,,B,guillca01
Jose Guillen,Jose,Guillen,N/A,OF,,,R,guilljo01
Jesus Guzman,Jesus,Guzman,N/A,1B,30108,Jesus Guzman,R,guzmaje01
Tony Gwynn,Tony,Gwynn,N/A,OF,28516,Tony Gwynn,L,gwynnto02
Travis Hafner,Travis,Hafner,N/A,DH,4752,Travis Hafner,L,hafnetr01
Jerry Hairston,Jerry,Hairston,N/A,SS,3966,Jerry Hairston Jr.,R,hairsje02
Scott Hairston,Scott,Hairston,N/A,OF,5401,Scott Hairston,R,hairssc01
Bill Hall,Bill,Hall,N/A,2B,,,R,hallbi01
Ryan Hanigan,Ryan,Hanigan,N/A,C,28899,Ryan Hanigan,R,hanigry01
Jack Hannahan,Jack,Hannahan,N/A,1B,28468,Jack Hannahan,L,hannaja01
Corey Hart,Corey,Hart,N/A,1B,5973,Corey Hart,R,hartco01
Alexander Hassan,Alexander,Hassan,N/A,OF,30770,Alex Hassan,R,hassaal01
Reese Havens,Reese,Havens,N/A,2B,30216,Reese Havens,L,havenre01
Brad Hawpe,Brad,Hawpe,N/A,OF,,,L,hawpebr01
Todd Helton,Todd,Helton,N/A,1B,3709,Todd Helton,L,heltoto01
Luis Hernandez,Luis,Hernandez,N/A,SS,,,B,hernalu01
Ramon Hernandez,Ramon,Hernandez,N/A,C,,,R,hernara02
Elian Herrera,Elian,Herrera,N/A,2B,,,B,herreel01
Jonathan Herrera,Jonathan,Herrera,N/A,2B,29119,Jonathan Herrera,B,herrejo03
John Hester,John,Hester,N/A,C,29788,John Hester,R,hestejo01
Brandon Hicks,Brandon,Hicks,N/A,2B,29552,Brandon Hicks,R,hicksbr01
Aaron Hill,Aaron,Hill,N/A,2B,6190,Aaron Hill,R,hillaa01
Steven Hill,Steven,Hill,N/A,C,,,R,hillst01
Eric Hinske,Eric,Hinske,N/A,OF,,,L,hinsker01
Ryan Howard,Ryan,Howard,N/A,1B,6097,Ryan Howard,L,howarry01
Orlando Hudson,Orlando,Hudson,N/A,2B,,,B,hudsoor01
Aubrey Huff,Aubrey,Huff,N/A,OF,,,L,huffau01
Luke Hughes,Luke,Hughes,N/A,2B,,,R,hughelu01
Torii Hunter,Torii,Hunter,N/A,OF,3723,Torii Hunter,R,hunteto01
Raul Ibanez,Raul,Ibanez,N/A,OF,3504,Raul Ibanez,L,ibanera01
Brandon Inge,Brandon,Inge,N/A,3B,,,R,ingebr01
Travis Ishikawa,Travis,Ishikawa,N/A,1B,6509,Travis Ishikawa,L,ishiktr01
Akinori Iwamura,Akinori,Iwamura,N/A,2B,,,L,iwamuak01
Maicer Izturis,Maicer,Izturis,N/A,2B,6087,Maicer Izturis,B,izturma01
Brett Jackson,Brett,Jackson,N/A,OF,30594,Brett Jackson,L,jacksbr01
Conor Jackson,Conor,Jackson,N/A,OF,,,R,jacksco01
Ryan Jackson,Ryan,Jackson,N/A,SS,31213,Ryan Jackson,R,jacksry02
Mike Jacobs,Mike,Jacobs,N/A,1B,,,L,jacobmi02
Paul Janish,Paul,Janish,N/A,3B,29130,Paul Janish,R,janispa01
Derek Jeter,Derek,Jeter,N/A,SS,3246,Derek Jeter,R,jeterde01
Luis Jimenez,Luis,Jimenez,N/A,3B,31970,Luis Jimenez,R,jimenlu02
Chris Johnson,Chris,Johnson,N/A,1B,29616,Chris Johnson,R,johnsch05
Dan Johnson,Dan,Johnson,N/A,1B,6096,Dan Johnson,L,johnsda06
Elliot Johnson,Elliot,Johnson,N/A,OF,29078,Elliot Johnson,B,johnsel02
Kelly Johnson,Kelly,Johnson,N/A,2B,6295,Kelly Johnson,L,johnske05
Nick Johnson,Nick,Johnson,N/A,1B,,,L,johnsni01
Reed Johnson,Reed,Johnson,N/A,OF,5452,Reed Johnson,R,johnsre02
Rob Johnson,Rob,Johnson,N/A,C,28866,Rob Johnson,R,johnsro07
Andruw Jones,Andruw,Jones,N/A,OF,,,R,jonesan01
Chipper Jones,Chipper,Jones,N/A,3B,3006,Chipper Jones,R,jonesch06
Garrett Jones,Garrett,Jones,N/A,OF,28763,Garrett Jones,L,jonesga02
Kila Ka'aihue,Kila,Ka'aihue,N/A,1B,,,L,kaaihki01
Ryan Kalish,Ryan,Kalish,N/A,OF,30539,Ryan Kalish,L,kalisry01
Munenori Kawasaki,Munenori,Kawasaki,N/A,2B,32047,Munenori Kawasaki,L,kawasmu01
Austin Kearns,Austin,Kearns,N/A,OF,5012,Austin Kearns,R,kearnau01
Don Kelly,Don,Kelly,N/A,1B,28730,Don Kelly,L,kellydo01
Jason Kendall,Jason,Kendall,N/A,C,,,R,kendaja01
Adam Kennedy,Adam,Kennedy,N/A,2B,,,L,kennead01
Jeff Keppinger,Jeff,Keppinger,N/A,2B,6076,Jeff Keppinger,R,keppije01
Paul Konerko,Paul,Konerko,N/A,1B,3747,Paul Konerko,R,konerpa01
Casey Kotchman,Casey,Kotchman,N/A,1B,,,L,kotchca01
Mark Kotsay,Mark,Kotsay,N/A,OF,3685,Mark Kotsay,L,kotsama01
George Kottaras,George,Kottaras,N/A,C,28665,George Kottaras,L,kottage01
Kevin Kouzmanoff,Kevin,Kouzmanoff,N/A,3B,28585,Kevin Kouzmanoff,R,kouzmke01
Pete Kozma,Pete,Kozma,N/A,SS,30011,Pete Kozma,R,kozmape01
Jason Kubel,Jason,Kubel,N/A,OF,6102,Jason Kubel,L,kubelja01
Bryan LaHair,Bryan,LaHair,N/A,1B,,,L,lahaibr01
Brandon Laird,Brandon,Laird,N/A,3B,30623,Brandon Laird,R,lairdbr01
Gerald Laird,Gerald,Laird,N/A,C,5465,Gerald Laird,R,lairdge01
Ryan Langerhans,Ryan,Langerhans,N/A,OF,5109,Ryan Langerhans,L,langery01
Matt LaPorta,Matt,LaPorta,N/A,OF,,,R,laportma01
Adam LaRoche,Adam,LaRoche,N/A,1B,5879,Adam LaRoche,L,larocad01
Brett Lawrie,Brett,Lawrie,N/A,2B,30644,Brett Lawrie,R,lawribr01
Carlos Lee,Carlos,Lee,N/A,1B,,,R,leeca01
Dae-Ho Lee,Dae-Ho,Lee,N/A,1B,,,R,leeda02
Derrek Lee,Derrek,Lee,N/A,1B,,,L,leede02
Fred Lewis,Fred,Lewis,N/A,OF,,,L,lewisfr02
Alex Liddi,Alex,Liddi,N/A,3B,29493,Alex Liddi,R,liddial01
Brent Lillibridge,Brent,Lillibridge,N/A,OF,,,R,lillibr01
Steve Lombardozzi,Steve,Lombardozzi,N/A,2B,31996,Stephen Lombardozzi,B,lombast02
Felipe Lopez,Felipe,Lopez,N/A,SS,,,B,lopezfe01
Jose Lopez,Jose,Lopez,N/A,2B,,,R,lopezjo01
Ryan Ludwick,Ryan,Ludwick,N/A,OF,5036,Ryan Ludwick,R,ludwiry01
Donald Lutz,Donald,Lutz,N/A,OF,32084,Donald Lutz,L,lutzdo01
Zach Lutz,Zach,Lutz,N/A,3B,30968,Zach Lutz,R,lutzza01
Mitch Maier,Mitch,Maier,N/A,OF,,,L,maiermi01
Fernando Martinez,Fernando,Martinez,N/A,OF,30141,Fernando Martinez,L,martife02
Luis Martinez,Luis,Martinez,N/A,C,30975,Luis Martinez,R,martilu02
Darin Mastroianni,Darin,Mastroianni,N/A,OF,30807,Darin Mastroianni,R,mastrda01
Joe Mather,Joe,Mather,N/A,OF,,,R,mathejo02
Hideki Matsui,Hideki,Matsui,N/A,OF,,,L,matsuhi01
Kazuo Matsui,Kazuo,Matsui,N/A,2B,,,B,matsuka01
Justin Maxwell,Justin,Maxwell,N/A,OF,28896,Justin Maxwell,R,maxweju01
John Mayberry,John,Mayberry,N/A,OF,30042,John Mayberry Jr.,R,maybejo02
Edwin Maysonet,Edwin,Maysonet,N/A,2B,,,R,maysoed01
Matt McBride,Matt,McBride,N/A,1B,30794,Matt McBride,L,mcbrima01
Mike McCoy,Mike,McCoy,N/A,2B,,,R,mccoymi01
Darnell McDonald,Darnell,McDonald,N/A,OF,4616,Darnell McDonald,R,mcdonda02
John McDonald,John,McDonald,N/A,3B,4108,John McDonald,R,mcdonjo03
Casey McGehee,Casey,McGehee,N/A,3B,29245,Casey McGehee,R,mcgehca01
Chris Mcguiness,Chris,Mcguiness,N/A,1B,30879,Chris McGuiness,L,mcguich01
Nate McLouth,Nate,McLouth,N/A,OF,6220,Nate McLouth,L,mclouna01
Tommy Medica,Tommy,Medica,N/A,OF,32882,Tommy Medica,R,medicto01
Ernesto Mejia,Ernesto,Mejia,N/A,1B,30426,Ernesto Mejia,R,mejiaer01
Jesus Merchan,Jesus,Merchan,N/A,SS,,,R,merchje01
Melky Mesa,Melky,Mesa,N/A,OF,31022,Melky Mesa,R,mesame01
Aaron Miles,Aaron,Miles,N/A,2B,,,B,milesaa01
Lastings Milledge,Lastings,Milledge,N/A,OF,,,L,millela02
Jose Molina,Jose,Molina,N/A,C,4169,Jose Molina,R,molinjo01
Jesus Montero,Jesus,Montero,N/A,1B,29448,Jesus Montero,R,monteje01
Adam Moore,Adam,Moore,N/A,C,29491,Adam Moore,R,mooread01
Scott Moore,Scott,Moore,N/A,3B,,,L,mooresc02
Melvin Mora,Melvin,Mora,N/A,3B,4078,Melvin Mora,R,morame01
Brent Morel,Brent,Morel,N/A,3B,30601,Brent Morel,R,morelbr01
Nyjer Morgan,Nyjer,Morgan,N/A,OF,28885,Nyjer Morgan,L,morgany01
Justin Morneau,Justin,Morneau,N/A,DH,5379,Justin Morneau,L,morneju01
David Murphy,David,Murphy,N/A,OF,28582,David Murphy,L,murphda07
Xavier Nady,Xavier,Nady,N/A,OF,4564,Xavier Nady,R,nadyxa01
Hiroyuki Nakajima,Hiroyuki,Nakajima,N/A,SS,32584,Hiroyuki Nakajima,R,nakajhi01
Dioner Navarro,Dioner,Navarro,N/A,C,5902,Dioner Navarro,B,navardi01
Thomas Neal,Thomas,Neal,N/A,OF,30572,Thomas Neal,R,nealth01
Chris Nelson,Chris,Nelson,N/A,3B,30156,Chris Nelson,R,nelsoch01
Mike Nickeas,Mike,Nickeas,N/A,C,29665,Mike Nickeas,R,nickemi01
Wil Nieves,Wil,Nieves,N/A,C,5219,Wil Nieves,R,nievewi01
Tsuyoshi Nishioka,Tsuyoshi,Nishioka,N/A,SS,,,B,nishits01
Jayson Nix,Jayson,Nix,N/A,3B,28951,Jayson Nix,R,nixja01
Laynce Nix,Laynce,Nix,N/A,OF,,,L,nixla01
Hector Olivera,Hector,Olivera,N/A,OF,34735,Hector Olivera,R,olivehe01
Miguel Olivo,Miguel,Olivo,N/A,C,,,R,olivomi01
Magglio Ordonez,Magglio,Ordonez,N/A,OF,,,R,ordonmi01
Pete Orr,Pete,Orr,N/A,2B,6088,Pete Orr,L,orrpe01
David Ortiz,David,Ortiz,N/A,DH,3748,David Ortiz,L,ortizda01
Lyle Overbay,Lyle,Overbay,N/A,1B,4598,Lyle Overbay,L,overbly01
Jordan Pacheco,Jordan,Pacheco,N/A,3B,30605,Jordan Pacheco,R,pachejo01
Angel Pagan,Angel,Pagan,N/A,OF,6488,Angel Pagan,B,paganan01
Jimmy Paredes,Jimmy,Paredes,N/A,OF,30680,Jimmy Paredes,B,paredji01
Kyle Parker,Kyle,Parker,N/A,OF,31953,Kyle Parker,R,parkeky01
Tyler Pastornicky,Tyler,Pastornicky,N/A,2B,30710,Tyler Pastornicky,R,pastoty01
Corey Patterson,Corey,Patterson,N/A,OF,,,L,patteco01
Ronny Paulino,Ronny,Paulino,N/A,C,,,R,pauliro01
Xavier Paul,Xavier,Paul,N/A,OF,28985,Xavier Paul,L,paulxa01
Carlos Peguero,Carlos,Peguero,N/A,OF,31587,Carlos Peguero,L,pegueca01
Francisco Peguero,Francisco,Peguero,N/A,OF,30402,Francisco Peguero,R,peguefr01
Carlos Pena,Carlos,Pena,N/A,1B,4594,Carlos Pena,L,penaca01
Juan Perez,Juan,Perez,N/A,OF,28605,Juan Perez,R,perezju01
Bryan Petersen,Bryan,Petersen,N/A,OF,30240,Bryan Petersen,L,peterbr01
Gregorio Petit,Gregorio,Petit,N/A,SS,,,R,petitgr01
Cord Phelps,Cord,Phelps,N/A,2B,30823,Cord Phelps,B,phelpco01
Denis Phipps,Denis,Phipps,N/A,OF,30808,Denis Phipps,R,phippde01
Felix Pie,Felix,Pie,N/A,OF,6475,Felix Pie,L,piefe01
Juan Pierre,Juan,Pierre,N/A,OF,4486,Juan Pierre,L,pierrju01
A.J. Pierzynski,A.J.,Pierzynski,N/A,C,3948,A.J. Pierzynski,L,pierza.01
Scott Podsednik,Scott,Podsednik,N/A,OF,,,L,podsesc01
Placido Polanco,Placido,Polanco,N/A,3B,3888,Placido Polanco,R,polanpl01
Jorge Posada,Jorge,Posada,N/A,C,3341,Jorge Posada,B,posadjo01
Josh Prince,Josh,Prince,N/A,OF,30660,Josh Prince,R,princjo01
Nick Punto,Nick,Punto,N/A,2B,4946,Nick Punto,B,puntoni01
Carlos Quentin,Carlos,Quentin,N/A,OF,6192,Carlos Quentin,R,quentca01
Humberto Quintero,Humberto,Quintero,N/A,C,5794,Humberto Quintero,R,quinthu01
Omar Quintanilla,Omar,Quintanilla,N/A,SS,6374,Omar Quintanilla,L,quintom01
Ryan Raburn,Ryan,Raburn,N/A,OF,6124,Ryan Raburn,R,raburry01
Alexei Ramirez,Alexei,Ramirez,N/A,SS,28952,Alexei Ramirez,R,ramiral03
Aramis Ramirez,Aramis,Ramirez,N/A,3B,3853,Aramis Ramirez,R,ramirar01
Manny Ramirez,Manny,Ramirez,N/A,OF,2974,Manny Ramirez,R,ramirma02
Nolan Reimold,Nolan,Reimold,N/A,OF,28974,Nolan Reimold,R,reimono01
Ben Revere,Ben,Revere,N/A,OF,29976,Ben Revere,L,reverbe01
