IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,KFFLNAME,THROWS
quintjo01,Jose Quintana,Jose,Quintana,CHW,P,32106,Jose Quintana,,L
ramirer02,Erasmo Ramirez,Erasmo,Ramirez,TB,P,31983,Erasmo Ramirez,,R
ramirne01,Neil Ramirez,Neil,Ramirez,SF,P,29942,Neil Ramirez,,R
ramosaj01,A.J. Ramos,A.J.,Ramos,MIA,P,32104,A.J. Ramos,,R
ramosce01,Cesar Ramos,Cesar,Ramos,PHI,P,29734,Cesar Ramos,,L
rayro02,Robbie Ray,Robbie,Ray,ARI,P,32175,Robbie Ray,,L
reaco01,Colin Rea,Colin,Rea,SD,P,33950,Colin Rea,,R
reedad01,Addison Reed,Addison,Reed,NYM,P,31493,Addison Reed,,R
reedco01,Cody Reed,Cody,Reed,CIN,P,34884,Cody Reed,,L
reyesal01,Alex Reyes,Alex,Reyes,STL,P,33213,Alex Reyes,,R
reynoma02,Matt Reynolds,Matt,Reynolds,SF,P,30604,Matt Reynolds,,L
richacl01,Clayton Richard,Clayton,Richard,SD,P,29195,Clayton Richard,,L
richaga01,Garrett Richards,Garrett,Richards,LAA,P,30892,Garrett Richards,,R
rienzan01,Andre Rienzo,Andre,Rienzo,SD,P,31935,Andre Rienzo,,R
riverfe01,Felipe Rivero,Felipe,Rivero,PIT,P,32562,Felipe Rivero,,L
roarkta01,Tanner Roark,Tanner,Roark,WAS,P,31593,Tanner Roark,,R
roberda08,David Robertson,David,Robertson,CHW,P,29172,David Robertson,,R
robleha01,Hansel Robles,Hansel,Robles,NYM,P,32666,Hansel Robles,,R
rodgebr02,Brendan Rodgers,Brendan,Rodgers,COL,P,35073,Brendan Rodgers,,R
rodnefe01,Fernando Rodney,Fernando,Rodney,ARI,P,5111,Fernando Rodney,,R
rodonca01,Carlos Rodon,Carlos,Rodon,CHW,P,33696,Carlos Rodon,,L
rodried05,Eduardo Rodriguez,Eduardo,Rodriguez,BOS,P,32675,Eduardo Rodriguez,,L
rodrife02,Fernando Rodriguez,Fernando,Rodriguez,CHC,P,29326,Fernando Rodriguez,,R
rodrifr03,Francisco Rodriguez,Francisco,Rodriguez,DET,P,5357,Francisco Rodriguez,,R
rogerta01,Taylor Rogers,Taylor,Rogers,MIN,P,33671,Taylor Rogers,,L
romose01,Sergio Romo,Sergio,Romo,LAD,P,29168,Sergio Romo,,R
rondobr01,Bruce Rondon,Bruce,Rondon,DET,P,31943,Bruce Rondon,,R
rondohe01,Hector Rondon,Hector,Rondon,CHC,P,30089,Hector Rondon,,R
rosajo01,Jorge de la Rosa,Jorge,de la Rosa,ARI,P,5906,Jorge De La Rosa,,L
rosentr01,Trevor Rosenthal,Trevor,Rosenthal,STL,P,31945,Trevor Rosenthal,,R
rossjo01,Joe Ross,Joe,Ross,WAS,P,32684,Joe Ross,,R
rossro01,Robbie Ross,Robbie,Ross,BOS,P,32051,Robbie Ross,,L
rossty01,Tyson Ross,Tyson,Ross,TEX,P,30099,Tyson Ross,,R
rusinch01,Chris Rusin,Chris,Rusin,COL,P,31987,Chris Rusin,,L
ryuhy01,Hyun-Jin Ryu,Hyun-Jin,Ryu,LAD,P,32582,Hyun-Jin Ryu,,L
rzepcma01,Marc Rzepczynski,Marc,Rzepczynski,SEA,P,30366,Marc Rzepczynski,,L
sabatc.01,CC Sabathia,CC,Sabathia,NYY,P,4553,CC Sabathia,,L
salazda01,Danny Salazar,Danny,Salazar,CLE,P,32095,Danny Salazar,,R
salech01,Chris Sale,Chris,Sale,BOS,P,30948,Chris Sale,,L
samarje01,Jeff Samardzija,Jeff,Samardzija,SF,P,29166,Jeff Samardzija,,R
sanchaa01,Aaron Sanchez,Aaron,Sanchez,TOR,P,31254,Aaron Sanchez,,R
sanchan01,Anibal Sanchez,Anibal,Sanchez,DET,P,6472,Anibal Sanchez,,R
santaer01,Ervin Santana,Ervin,Santana,MIN,P,6280,Ervin Santana,,R
santihe01,Hector Santiago,Hector,Santiago,MIN,P,30744,Hector Santiago,,L
saupowa01,Warwick Saupold,Warwick,Saupold,DET,P,35048,Warwick Saupold,,R
schafjo02,Jordan Schafer,Jordan,Schafer,STL,P,28971,Jordan Schafer,Jordan Schafer,L
schepta01,Tanner Scheppers,Tanner,Scheppers,TEX,P,30454,Tanner Scheppers,,R
scherma01,Max Scherzer,Max,Scherzer,WAS,P,28976,Max Scherzer,,R
scribev01,Evan Scribner,Evan,Scribner,SEA,P,30970,Evan Scribner,,R
severlu01,Luis Severino,Luis,Severino,NYY,P,33263,Luis Severino,,R
shawbr01,Bryan Shaw,Bryan,Shaw,CLE,P,30589,Bryan Shaw,,R
shielja02,James Shields,James,Shields,CHW,P,28474,James Shields,,R
shiplbr01,Braden Shipley,Braden,Shipley,ARI,P,33216,Braden Shipley,,R
shoemma01,Matt Shoemaker,Matt,Shoemaker,LAA,P,32058,Matt Shoemaker,,R
shrevch01,Chasen Shreve,Chasen,Shreve,NYY,P,33014,Chasen Shreve,,L
siegrke01,Kevin Siegrist,Kevin,Siegrist,STL,P,32059,Kevin Siegrist,,L
sippto01,Tony Sipp,Tony,Sipp,HOU,P,28673,Tony Sipp,,L
skaggty01,Tyler Skaggs,Tyler,Skaggs,LAA,P,31221,Tyler Skaggs,,L
smithca02,Carson Smith,Carson,Smith,BOS,P,32628,Carson Smith,,R
smithjo05,Joe Smith,Joe,Smith,TOR,P,28729,Joe Smith,,R
smithwi04,Will Smith,Will,Smith,SF,P,31549,Will Smith,,L
smylydr01,Drew Smyly,Drew,Smyly,SEA,P,31816,Drew Smyly,,L
snellbl01,Blake Snell,Blake,Snell,TB,P,33748,Blake Snell,,L
solissa01,Sammy Solis,Sammy,Solis,WAS,P,31041,Sammy Solis,,L
soriajo01,Joakim Soria,Joakim,Soria,KC,P,28688,Joakim Soria,,R
stephro01,Robert Stephenson,Robert,Stephenson,CIN,P,32134,Robert Stephenson,,R
stewabr01,Brock Stewart,Brock,Stewart,LAD,P,35997,Brock Stewart,,R
stewako01,Kohl Stewart,Kohl,Stewart,MIN,P,33219,Kohl Stewart,,R
storedr01,Drew Storen,Drew,Storen,CIN,P,30534,Drew Storen,,R
strahma01,Matt Strahm,Matt,Strahm,KC,P,34862,Matt Strahm,,L
straida01,Dan Straily,Dan,Straily,MIA,P,32563,Dan Straily,,R
strasst01,Stephen Strasburg,Stephen,Strasburg,WAS,P,30373,Stephen Strasburg,,R
streehu01,Huston Street,Huston,Street,LAA,P,6175,Huston Street,,R
strichu01,Hunter Strickland,Hunter,Strickland,SF,P,32589,Hunter Strickland,,R
stripro01,Ross Stripling,Ross,Stripling,LAD,P,32789,Ross Stripling,,R
stromma01,Marcus Stroman,Marcus,Stroman,TOR,P,32815,Marcus Stroman,,R
stroppe01,Pedro Strop,Pedro,Strop,CHC,P,29763,Pedro Strop,,R
swarzan01,Anthony Swarzak,Anthony,Swarzak,CHW,P,30153,Anthony Swarzak,,R
syndeno01,Noah Syndergaard,Noah,Syndergaard,NYM,P,31730,Noah Syndergaard,,R
taillja01,Jameson Taillon,Jameson,Taillon,PIT,P,31258,Jameson Taillon,,R
tanakma01,Masahiro Tanaka,Masahiro,Tanaka,NYY,P,33150,Masahiro Tanaka,,R
tatedi01,Dillon Tate,Dillon,Tate,NYY,P,34950,Dillon Tate,,R
tazawju01,Junichi Tazawa,Junichi,Tazawa,MIA,P,30095,Junichi Tazawa,,R
teherju01,Julio Teheran,Julio,Teheran,ATL,P,31091,Julio Teheran,,R
tepesni01,Nick Tepesch,Nick,Tepesch,MIN,P,32700,Nick Tepesch,,R
thompja03,Jake Thompson,Jake,Thompson,PHI,P,32832,Jake Thompson,,R
thornty01,Tyler Thornburg,Tyler,Thornburg,BOS,P,31887,Tyler Thornburg,,R
tillmch01,Chris Tillman,Chris,Tillman,BAL,P,30285,Chris Tillman,,R
tollesh01,Shawn Tolleson,Shawn,Tolleson,TB,P,31886,Shawn Tolleson,,R
tomlijo01,Josh Tomlin,Josh,Tomlin,CLE,P,30944,Josh Tomlin,,R
torreca01,Carlos Torres,Carlos,Torres,MIL,P,29347,Carlos Torres,,R
treinbl01,Blake Treinen,Blake,Treinen,WAS,P,32185,Blake Treinen,,R
triggan01,Andrew Triggs,Andrew,Triggs,OAK,P,33589,Andrew Triggs,,R
tropeni01,Nicholas Tropeano,Nicholas,Tropeano,LAA,P,33170,Nick Tropeano,,R
turneja01,Jacob Turner,Jacob,Turner,WAS,P,30526,Jacob Turner,,R
ueharko01,Koji Uehara,Koji,Uehara,CHC,P,30130,Koji Uehara,,R
urenajo01,Jose Urena,Jose,Urena,MIA,P,33107,Jose Urena,,R
uriasju01,Julio Urias,Julio,Urias,LAD,P,33223,Julio Urias,,L
vargace01,Cesar Vargas,Cesar,Vargas,SD,P,33877,Cesar Vargas,,R
vargaja01,Jason Vargas,Jason,Vargas,KC,P,6352,Jason Vargas,,L
velasvi01,Vincent Velasquez,Vincent,Velasquez,PHI,P,31878,Vincent Velasquez,,R
verlaju01,Justin Verlander,Justin,Verlander,DET,P,6341,Justin Verlander,,R
verrelo01,Logan Verrett,Logan,Verrett,BAL,P,33131,Logan Verrett,,R
vinceni01,Nick Vincent,Nick,Vincent,SEA,P,31540,Nick Vincent,,R
vizcaar01,Arodys Vizcaino,Arodys,Vizcaino,ATL,P,31087,Arodys Vizcaino,,R
vogelry01,Ryan Vogelsong,Ryan,Vogelsong,MIN,P,4514,Ryan Vogelsong,,R
volqued01,Edinson Volquez,Edinson,Volquez,MIA,P,6401,Edinson Volquez,,R
volstch01,Chris Volstad,Chris,Volstad,CHW,P,28874,Chris Volstad,,R
wachami01,Michael Wacha,Michael,Wacha,STL,P,32640,Michael Wacha,,R
wainwad01,Adam Wainwright,Adam,Wainwright,STL,P,5403,Adam Wainwright,,R
walketa01,Taijuan Walker,Taijuan,Walker,ARI,P,31864,Taijuan Walker,,R
warread01,Adam Warren,Adam,Warren,NYY,P,31101,Adam Warren,,R
watsoto01,Tony Watson,Tony,Watson,PIT,P,31513,Tony Watson,,L
weaveje02,Jered Weaver,Jered,Weaver,SD,P,6479,Jered Weaver,,R
weavelu01,Luke Weaver,Luke,Weaver,STL,P,33770,Luke Weaver,,R
webbry01,Ryan Webb,Ryan,Webb,MIL,P,30032,Ryan Webb,,R
wheelza01,Zack Wheeler,Zack,Wheeler,NYM,P,31267,Zack Wheeler,,R
whitlch01,Chase Whitley,Chase,Whitley,TB,P,31858,Chase Whitley,,R
wilheto01,Tom Wilhelmsen,Tom,Wilhelmsen,ARI,P,31517,Tom Wilhelmsen,,R
wilsoal01,Alex Wilson,Alex,Wilson,DET,P,31557,Alex Wilson,,R
wilsoju10,Justin Wilson,Justin,Wilson,DET,P,31026,Justin Wilson,,L
wislema01,Matt Wisler,Matt,Wisler,ATL,P,32802,Matt Wisler,,R
woodal02,Alex Wood,Alex,Wood,LAD,P,32620,Alex Wood,,L
woodtr01,Travis Wood,Travis,Wood,KC,P,30515,Travis Wood,,L
worleva01,Vance Worley,Vance,Worley,WAS,P,30943,Vance Worley,,R
wrighmi01,Mike Wright,Mike,Wright,BAL,P,32291,Mike Wright,,R
wrighst01,Steven Wright,Steven,Wright,BOS,P,32587,Steven Wright,,R
youngch03,Chris Young (P),Chris,Young (P),KC,P,6073,Chris Young,,R
zieglbr01,Brad Ziegler,Brad,Ziegler,MIA,P,29147,Brad Ziegler,,R
zimmejo02,Jordan Zimmermann,Jordan,Zimmermann,DET,P,30209,Jordan Zimmermann,,R
zimmeky01,Kyle Zimmer,Kyle,Zimmer,KC,P,32689,Kyle Zimmer,,R
zychto01,Tony Zych,Tony,Zych,SEA,P,32182,Tony Zych,,R
